gp_name,track_length_km,no_of_corners,longest_straight_m,elevation_change_m,technical_difficulty_score,straight_to_corner_ratio,elevation_challenge_score,sector_complexity,cornering_index,track_type_encoded
Austrian Grand Prix,4.318,10,868,63,0.432,86.8,14.6,0.431,19.0,3
Styrian Grand Prix,4.318,10,868,63,0.432,86.8,14.6,0.431,19.0,3
Hungarian Grand Prix,4.381,14,790,36,0.313,56.4,8.2,0.285,12.86,2
British Grand Prix,5.891,18,770,11,0.327,42.8,1.87,0.333,11.11,3
70th Anniversary Grand Prix,5.891,18,770,11,0.327,42.8,1.87,0.333,11.11,3
Spanish Grand Prix,4.657,14,1047,31,0.333,74.8,6.7,0.331,12.5,3
Belgian Grand Prix,7.004,19,1800,102,0.369,94.7,14.6,0.382,10.26,5
Italian Grand Prix,5.793,11,1120,13,0.526,101.8,2.24,0.567,20.0,4
Tuscan Grand Prix,5.245,15,1141,41,0.350,76.1,7.8,0.357,12.67,3
Russian Grand Prix,5.848,18,1200,1.9,0.325,66.7,0.32,0.321,8.89,3
Eifel Grand Prix,5.148,15,800,55,0.343,53.3,10.7,0.347,11.33,3
Portuguese Grand Prix,4.653,15,969,30,0.310,64.6,6.4,0.342,11.67,3
Emilia Romagna Grand Prix,4.909,19,1000,30,0.258,52.6,6.1,0.287,9.47,3
Turkish Grand Prix,5.338,14,720,46,0.381,51.4,8.6,0.376,12.86,3
Bahrain Grand Prix,5.412,15,1090,16,0.361,72.7,3.0,0.374,11.67,5
Sakhir Grand Prix,3.543,11,1090,16,0.322,99.1,4.5,0.404,17.73,4
Abu Dhabi Grand Prix,5.281,16,1200,10,0.330,75.0,1.9,0.355,10.63,5
Monaco Grand Prix,3.337,19,510,42,0.176,26.8,12.6,0.183,6.84,1
Azerbaijan Grand Prix,6.003,20,2200,26,0.300,110.0,4.3,0.301,8.0,4
French Grand Prix,5.842,15,1800,30,0.389,120.0,5.1,0.396,11.67,5
Dutch Grand Prix,4.259,14,678,8,0.304,48.4,1.87,0.286,11.79,2
United States Grand Prix,5.513,20,1200,41,0.276,60.0,7.4,0.268,8.75,5
Mexico City Grand Prix,4.304,17,1314,3,0.253,77.3,0.7,0.263,10.29,4
São Paulo Grand Prix,4.309,15,650,43,0.287,43.3,10.0,0.305,12.0,3
Qatar Grand Prix,5.419,16,1068,6,0.338,66.8,1.1,0.340,11.88,5
Saudi Arabian Grand Prix,6.174,27,1200,12,0.229,44.4,1.94,0.238,7.41,1
Australian Grand Prix,5.278,14,800,2,0.377,57.1,0.37,0.371,12.86,3
Miami Grand Prix,5.412,19,1280,11,0.285,67.4,2.0,0.290,8.95,1
Canadian Grand Prix,4.361,14,1200,5,0.312,85.7,1.1,0.303,12.14,3
Singapore Grand Prix,4.928,19,850,4.5,0.259,44.7,0.9,0.273,7.89,1
Japanese Grand Prix,5.807,18,900,40,0.323,50.0,6.9,0.322,10.0,3
Las Vegas Grand Prix,6.201,17,1900,4,0.364,111.7,0.6,0.343,9.41,4
